ID;Anwesend;"Wie hat Ihnen die heutige Unterrichtssequenz gefallen? (1 = gar nicht; 5 = sehr)";Welche Themen haben Sie heute alle bearbeiten können?;"Wie sehr trauen Sie sich zu, die heutigen Inhalte jemand anderem zu klären? (1 = gar nicht; 5 = easy-peasy)";Wie viele der Python-Progrämmchen haben Sie selbst verändert?;Was ist ein Stack?;Was machen Lexer und Parser?;"Wie gut hat die Lernumgebung für Sie funktioniert? (1 = gar nicht; 5 = problemlos)";Was hat Ihnen an der Lernumgebung gefallen?;Welche Änderungen an der Lernumgebung wünschen Sie sich für die nächste Klasse?;"Wie hilfreich fanden Sie die Nebeneinanderstellungen der unterschiedlichen Schritte beim Ausführen/Übersetzen eines Programms? (1 = weglassen; 5 = bitte mehr davon)";Beschreiben Sie in eigenen Worten: Wie wird ein Programm auf einem Prozessor ausgeführt?;Beschreiben Sie in eigenen Worten: Wie wird ein Programm in einer Hochsprache wie Processing für den Prozessor aufbereitet?;Was hatte das heutige Thema mit Silizium, Transistoren, Gattern und Schaltungen zu tun?;Was war für Sie das Highlight vom Informatik-Unterricht? (Was hat Ihnen am meisten Eindruck gemacht?);"Was ist Ihnen vom Informatik-Unterricht alles geblieben (einige Stichworte zum Stoff)?
";"Was hat Ihnen am Informatik-Unterricht gefallen?
";Wenn Sie mir vor zwei Jahren einen Hinweis geben könnten: Was hätten Sie sich für den Unterricht anders gewünscht?;Probe;5) Von Neumann;6) Mikrochip;6) gelungen;7) Schaltung;8) Mikrochip;8a);8b);8c)
1;x;4;"Maschinensprache und Prozessor;Funktionen eines Compilers;";4;Zwei bis drei;Eine Liste an Zwischenergebnissen und Befehlen.;Die Programmiersprache in Computersprache umwandeln ;4;Die Möglichkeit ein wenig zu wählen, an was man Arbeiten möchte. ;Ich empfand die Lernumgebung teilweise als ein wenig Unübersichtlich durch die vielen Querverweise ;5;Durch Stak oder durch Register;Durch das Transkribieren mittels verschiedener Schritte;Es zeigt, wie man von der Programmiersprache zu den Abläufen in diesen Bauteilen kommt. ;Die Sequenz des Programmierens und der Kryptologie;"Kryptologie: Einwegfunktion
Netzwerk: Verschiedene Schichten ";;;;3.5;3;Halbleiter,Logikgatter,Steuerwerk,Taktfrequenz;3;0.5;"""gibt a den Wert von …""";Processing code;unterteilt Aufgabe in Schritte, arbeitet diese wie Stapel ab
2;x;4;"Arbeiten mit Glamorous Toolkit;Maschinensprache und Prozessor;";3;Zwei bis drei;Ein Stack ist wie ein Stapel, wobei je nur das oberste Objekt entfernt wird. ;Lexer: Bestimmt die wesentlichen Inhalte eines Programms. Parser: Bestimmt die Struktur der Inhalte. (Noch nicht bearbeitet aber nachgeschaut);3;"Wenn bezogen auf das Tool: Das Inhaltsverzeichnis fand ich gut. 
Wenn auf das Unterrichtslokal bezogen: Angenehmes Klima ";"Bezogen auf das Tool: Manchmal genauere Erklärungen. 
Bezogen auf das Unterrichtslokal: Mehr Arbeit im ganzen Schulhaus. Besonders bei grossen Klassen oder hoher Hitze. ";5;Die Befehle werden vom Steuerwerk in die Maschinensprache übersetzt. Diese werden Schritt für Schritt von den Transistoren auf dem Chip durchgeführt werden. Es benötigt für jede Befehl-Kombination einen Transistor. ;Ein Compiler erkennt und übersetzt die Processing Befehle in Maschinensprache, wobei die gleichen Befehle vom gleichen Transistor ausgeführt werden. Jeder Befehl benötigt ein Transistor. ;"Diese Begriffe beziehen sich auf den Aufbau und die Zusammensetzung von Prozessoren (Chips). Das heutige Tema bezieht sich auf das ""Innenleben"" dieser Chips. Also die Art, wie Befehle codiert, gelesen und umgesetzt werden. ";Das Programmier-Projekt Mitte Gym 1 und das jetzige Thema, da man selber etwas machen kann. ;"- Processing Befehle
- Schichtenmodell und Routing 
- Datenschutz und Privatsphäre 
- Kryptologie 
- Binäre-, Hexadezimale- und Dezimale Berechnung";Wir haben viele Aspekte der Informatik angeschaut. Die Lernziele sind sehr hilfreich.  ;Bei Erklärungen das Tempo ein bisschen verlangsamen. ;;1;2;Halbleiter,Logikgatter,Taktfrequenz;1.5;1;definiert Variable;"""Variabel in Maschinensprache""";Rechenwerk macht Stapel, ruft oberstes ab
3;x;3;"Maschinensprache und Prozessor;";2;Keines;Ich glaube ein Stack ist, wenn ein Zustand nicht mehr weiter reduziert werden kann, aber kein gültiges Endergebnis darstellt. ;Sie sind für das Verarbeiten von Quellcodes. Der Lexer nimmt den Text und zerlegt ihn in Token - also Einheiten, die Sinn ergeben (Schlüsselwörter, Zahlen...). Der Pariser nimmt die vom Lexer erzeugte Tokens und baut daraus eine Struktur, die die grammatikalische Struktur eines Programms beschreibt. ;3;Man konnte sich mit Tischnachbaren austauschen und gemeinsam arbeiten. Mir gefiel auch das selbstständige Arbeiten. ;Also was die Doppelstunde am 12.05.2025 angeht, fand ich die Lernumgebung sehr gut. In anderen Informatiklektionen fände ich es toll, wenn man mehr selbstständig arbeiten könnte.  ;4;Der Prozessor liest und führt kleine Befehle aus, die vorher aus deinem Programm gemacht wurden.;Das weiss ich leider nicht. ;Ich glaube der Prozessor ist ein Bauteil, das aus Gattern besteht. Diese wiederum bestehen aus mehreren (sehr vielen) Transistoren. Und Transistoren bestehen aus Silizium.;Das Thema Datenschutz, weil das sehr aktuell ist und auch gefährlich heutzutage (man muss wissen, wie man sich schützen kann -> schwieriges Passwort und so) und auch die Präsentation (war ein cooles Projekt).;ASCII-Codierung, digitaler und kryptologischer Fingerabdruck, Cookies, Einwegfunktionen, Adressierung;Die Vielfältigkeit der Themen. ;Einfacher erklären und nicht so komplexe Zusammenhänge und so -> aber das ist ja Informatik... :);;2;3;Halbleiter,Logikgatter,Steuerwerk,Taktfrequenz;0;2;"berechnen, Ergebnis ""für a angeben""";"""Das Rechenwerk sieht die Logik dahinter"", ""das Steuerwerk sieht die Aufgabe""";"""Rechenwerk macht dann das bei a beschriebene Programm. Es schaut im Register nach, wie gerechnet wird"""
4;x;3;"Arbeiten mit Glamorous Toolkit;";1;Keines;Ein STapel bei dem ein Ergebnis draufgelegt wird und wieder weggenommen wird. ;-;1;;Es war sehr unübersichtlich und zu viele Informationen auf einmal. ;;;;Hardware;Das Programieren mit Processing;"Processing
Binäre Zahlen
Ameisenalgorithmus
Nützliche Tastenkombinationen bsp. ctrl+ s, ctrl+c, ctrl+v,...
Arbeiten mit World: Formatvorlagen, Inhaltsangaben
Funktionen mit Excell bsp. Anzahl,  SUM, Count, Max., Min. ...";Das wir ab und zu Projekte hatten;Übersichtlichere Darstellung und manchmal waren die Erklärungen etwas zu abstrakt. ;;3.5;2.5;Halbleiter,Logikgatter,Steuerwerk,Taktfrequenz;2.5;4;"""Es stellt ein 33 grosses a dar""";"""Das Steuerwerk sieht die Rechenoperationen"", ""Das Rechenwerk sieht die Zahlen und erhält vom Steuerwerk den Befehl""";"""Zwischenergebnis wird auf dem Stapel gespeichert"" und wieder davon genommen, um weiterzurechnen"
5;x;4;"Arbeiten mit Glamorous Toolkit;Maschinensprache und Prozessor;";2;Zwei bis drei;Datenstruktur, auf denen Zwischenergebnisse gespeichert werden. ;Sie zerlegen das Programm in Worte;4;Es war mal eine Abwechslung, sich die Inhalte mithilfe des Programms selber beizubringen, man aber trotzdem Fragen stellen kann. ;-;4;Man unterscheidet zwischen Strom und Nicht-Strom. Nicht-Strom wird in die binäre Ziffer 0 und Strom in die Ziffer 1 umgewandelt. Diese binären Ziffern werden dann zu Zahlen zusammengefasst. ;Die Hochsprache wird durch compilieren in einzelne Zahlen übersetzt. ;Prozessoren sind Schaltungen, die aus Millionen bis Milliarden Transistoren besteht. ;Mir hat Eindruck gemacht, dass die Informatik so vielseitig ist. Ein besonders Highlight kann ich nicht nennen...;Datenschutz, Codierungen, Kryptologie;Mir hat gefallen, dass wir immer wieder Alltagssituationen mit den teilweise recht komplexen Themen verknüpft haben. ;- ;;4;3;Halbleiter,Logikgatter,Steuerwerk,Taktfrequenz;0.5;2;"""Es rechnet den Wert für die Variabel a aus""";"""Steuerwerk: kann es nicht lesen"", ""Rechenwerk: kann es lesen, ist für Durchführungen von Rechenoperationen zuständig""";rechnet das Programm aus
6;x;4;"Maschinensprache und Prozessor;Arbeiten mit Glamorous Toolkit;";3;Zwei bis drei;"Ein Stack ist wie ein Stapel, bei dem die nächste Anwendung auf den Stapel gelegt wird. Sozusagen ein Zwischenresultat. Und wenn auf dem Stapel mehrere ""Blätter"" liegen, muss man zuerst das obere lösen oder entfernen, um das Untere zu gebrauchen. Also in einer Reihenfolge.";Sie helfen bei der Verarbeitung von Textdaten. Der Lexer trennt den Text in logische kleine Einheiten. Also im Text zum Beispiel, trennt er jedes Wort. Beim Parser bin ich mir nicht ganz sicher, aber ich glaube, dass er überprüft ob das Wort oder Ausschnitt der grammatikalischen Struktur der Programmiersprache entspricht und setzt anschliessend diese Wörter in einer sinnvollen Struktur wieder zusammen.;4;Dass man alles ändern konnte, umschreiben konnte und generell sehr frei war.;Keine Änderung.;4;Die Wörter oder Bilder, die auf dem Programm zu sehen sind, muss man sie zuerst in Binärcode übersetzen. Diese Abfolge von 0 und 1 ergeben dann das Programm. Sobald man aber die Zahlen abändert, wird der Text auch verändert, oder umgekehrt: Wenn man ein Wort anders schreibt, oder ein ganz neues hinzufügt, werden entsprechend die Zahlen geändert, oder neue hinzugefügt.;Da bin ich mir nicht sicher, aber ich vermute, es ist wie ein Zwischenschritt. Die 0 und 1 sind nicht direkt der Text oder andere Daten im Programm, sondern sie ergeben erst die Befehle in z.B. Processing. Diese Befehle generieren dann erst die Daten für das Programm.;"Zum Beispiel, das mit den 0 und 1 die für ein Programm verwendet werden, ist nichts anders als ""an"" oder ""aus"" bei Schaltungen und folglich auch Gattern. All das funktioniert über die Chips, die aus Milliarden von Transistoren bestehen und das Hauptelement aus welchem all die Chips bestehen. Silizium. ";Die verschiedenen Versionen, wie man einen Text verschlüsseln kann, fand ich spannend. Die Präsentationen am Schluss haben mir auch gefallen.;Der SQL Bankraub, mit dem wir uns über eine längere Zeit beschäftigt haben, war zwar nicht ganz einfach, aber auch interessant.;Die Art, wie sie meist verständlich, versucht haben uns die Idee hinter dem bearbeitenden Thema zu erklären.;Vielleicht war es nur bei mir so, aber manche Punkte in einem Thema waren für mich ein bisschen zu schnell durchgearbeitet. Zum Beispiel wie man eine Tabelle aus SQL, glaube ich war es, mit einer Tabelle aus Excel verknüpft. ;;0;3;Halbleiter,Logikgatter,Steuerwerk,Taktfrequenz;3;4.5;"""Es rechnet die Zahlen zusammen und setzt sie für die Variabel a ein""";"""Steuerwerke geben den Befehl und erhalten ein Zwischenresultat"", ""das Rechenwerk nimmt das Zwischenresultat wieder und rechnet auf Befehl weiter""";rechnet, das Resultat wird auf den Stapel gelegt, beim nächsten Befehl wird es wieder genommen
7;x;4;"Maschinensprache und Prozessor;Funktionen eines Compilers;";2;Zwei bis drei;Das ist ein Stapel, wo daten aufeinander aufbewahrt werden. Man nimmt immer etwas von oben...;"Lexer macht einen Text zu Zahlen (-> verständlich für den Computer). Also er zersetzt den für menschen verständlichen Text und schreibt ihn untereinander ""übersetzte "" hin. Parser hat etwas mit dem Lexer zutun, ordnet ihn.";2;"Dass es übersichtlich war... Man konnte immer auf die Titel und Untertitel klicken.
Die Aufgaben waren sehr abwechslungsreich.";Eher weniger Text und Erklärung mit den Lösungen (ob es bei jeder Aufgabe eine gab...);4;Der Prozessor liest die Anweisungen aus dem Programm (nacheinander), weiss dann was zu tun ist und macht es dann.;Processing = Programmiersprache, welche Menschen verstehen können... Man schreibt etwas hin (z.b. Elipse,...). Danach wird es in Java geschrieben. Dieser wird dann gelesen und das dann in Binär umgeschrieben (0, 1);"Chips werden aus Silicium gemacht (aus Sand, …)
Chips sind auf einem Transistor
Chips werden von Gattern geregelt, wie und ob es dazu kommt, dass das Licht leuchtet. (Schaltung besteht aus mehreren Gattern)
Chips werden von der Schaltung aktiviert/nicht (regeln, ob das Licht angeht oder nicht)";das Programmieren (gruppenarbeit mit den Projekten);"Wie man Formen und Bewegungen davon programmiert. (ellipse(200,200,10,10) + Background(...)
Datenschutz: was man schützen soll (Kontoinformationen, ...)
Wie man eine Datenbank durchsucht und eine kurzfristige neue Tabelle daraus macht.
Cookies und Tokens (was sie bewirken können-> Login->Token, ...)";Gruppenarbeit, verständliche Arbeitsblätter ;;;3.5;2.5;Halbleiter,Logikgatter,Steuerwerk,Taktfrequenz;3;2;"""Es zeigt, dass die Variabel 'a' mit dem Wert '38' gleichgestellt wird, indem es … rechnet""";"""Sie übersetzen …""";"""Es holt die Informationen aus dem Register & legt sie dann auf Stapel"""
8;x;4;"Maschinensprache und Prozessor;Arbeiten mit Glamorous Toolkit;";3;Eines;Das ist eine Datenstrucktur, wo das zuletzt hinzugefügte element, zuerst wieder gelöscht wird.;Sie analysieren Quellcodes und wandeln diese so um, dass sie für den Computer verständlich sind..;4;Mann konnte sich auch austauschen mit dem Nachbar, wenn man etwas nicht verstanden hat, es war aber auch nicht zu laut. ;Vielleicht, dass sie, wenn man eine Frage hat, diese ein bisschen ausführlicher oder verständlicher beantworten.;4;Zuerst wird der Quellcode geschrieben, dann muss dieser übersetzt werden, dann wird die übersetzubg in den Arbeitsspeicher übertragen und zum Schluss kann er ausgeführt werden. ;Zuerst wird der code wieder geschrieben, dann wird er in Java-code übersetzt? Dann wird dieser in einer Zwischendarstellung gespeichert dann noch einmal umgewandelt und als Maschinencode auf dem Prozessor ausgeführt. ;Diese Begriffe sind die Grundlage, worauf der Rest basiert, deswegen wegen diesen Teilen kann das überhaupt funktionieren. ;Mir hat am meisten das Kodieren gefallen;"Das programmieren 
Algorithmen (mit den verschiedenen Verzweigungen, Bedingungen..)
Binäre, Hexadezimale, dezimale Zahlen
Kryptologie

";Das man vieles mit dem Computer macht, was man sonst normalerweise nicht so macht...;Weniger Zeit im Plenum und mehr einzel- oder Gruppenarbeit. ;;4;3;Halbleiter,Logikgatter,Steuerwerk,Taktfrequenz;3;1;rechnet a aus;"""nullen&einsen""";unterteilt Schritte in Register
9;;3;;2;Eines;Eine dynamische Datenstruktur;Um einen Text zu analysieren -> Lexer: zerlegt die Eingabedaten, Parser: verwendet Lexer (=lexikalischen Scanner) ;3;Übungen und Erklärungen in einem angenehmen Gleichgewicht ;Vielleicht könnte man etwas abwechslungsreichere Aktivitäten tun (z.B. mehr kleine Projekte oder mehr Präsentationen);3;Ein Prozessor führt Befehle aus. Diese Befehle sind Binärcodes. Diese stellen bestimmte Aufgaben oder Operationen für den Prozessor dar. Die Steuereinheit interpretiert den Befehl und bestimmt die auszuführende Operation. Es identifiziert auch die spezifischen ,,Prozessor-Komponenten'', die für die Aufgabe erforderlich sind.;Höhere Programmiersprachen drücken mehr und komplexere logische Zusammenhänge kürzer aus, der dann durch automatisierte Prozesse auf Maschinencode heruntergebrochen wird. Die Lesbarkeit des Programmtextes wird so erhöht und die Anzahl der expliziten Aufgaben verringert.;Binärcodes, Befehle, Ein- und Ausschaltung, Komplexität;Das Formatieren und die SQL-Datenbanken;Die Formatierungen in einem Word-Dokument und in PowerPoints, die binären Zahlen, Cookies, Datenbanken, SQL-Datenbanken;Die Themen: Formatierungen und SQL-Datenbanken. Ausserdem gefielen mir die Gruppenprojekte. Der Verlauf des Unterrichts (also: zuerst erklären, dann Übungen lösen etc.) fand ich passend.;Vielleicht etwas abwechslungsreichere Aktivitäten im Unterricht. Dazu hätte ich mir eine grössere Vertiefung in das Thema der Formatierung gewünscht, da wir davon viel in unseren Schulalltag und unsere Projekte, wie ein Portfolio, anwenden können bzw. müssen.;;0;1.5;Steuerwerk,Taktfrequenz;0;0.5;"""a ist der Wert für wie viel Leistung aufgewendet werden muss, um die Daten zu verarbeiten""";"""Alle verarbeiteten Daten, die vom Prozessor kamen""";"""Das Rechenwerk ordnet die Daten quasi in einem Register und speichert diese ab."""
10;;;;;;;;;;;;;;;-;Excel ;-;Keine Hausaufgaben :) ;;4;1.5;Halbleiter,Taktfrequenz;2;0.5;mathematische Probleme lösen;;"""Rechenwerk dekodiert den Befehl … und speichert diese im Register"""
